LAKE_ID DEPTH_M ELEV_M LONG_DD LAT_DD Fch_Jan Fch_Feb Fch_Mar Fch_Apr Fch_May Fch_Jun Fch_Jul Fch_Aug Fch_Sep Fch_Oct Fch_Nov Fch_Dec Area2000_02_km2 sto_cap_km3 area_cap_km2 elev_cap_m a b tile1 tile2
128 3.4 4081 -76.196 -10.979 7451 7208 7221 6711 6578 6937 6906 6673 6527 6673 6937 7273 189.463 1.08 206.713 4084.616962 0.023123567 4079.83703 h10v10 hxxvxx
129 25.6 387 79.925 22.942 4346 4361 4961 7153 6749 5717 4924 5497 6483 4366 4346 4346 163.577 3.18 236.243 422.76 0.085182997 401.5107764 h25v06 hxxvxx
130 22.6 1031 146.731 -41.98 6141 6196 6138 6173 6272 6216 6279 6331 6327 6222 6138 6138 148.876 3.356 176 1040.539994 0.403456951 969.5315703 h28v13 hxxvxx
131 14.7 359 169.252 -44.609 3707 3707 3707 3707 3707 3707 3707 3707 3707 3707 3707 3707 150.535 2.18 150 345.4880578 0.146314711 323.5408511 h30v13 hxxvxx
132 12.7 51 13.791 -8.964 7922 6660 4681 3683 3689 3678 3697 5772 8443 7436 7062 7439 116.408 1.56 129.055 51.92500617 0.131207429 34.99206309 h19v09 hxxvxx
133 39.5 1172 148.62 -36.125 3860 3630 3643 4203 3995 7039 6899 6463 6380 6491 3549 3821 119.964 4.798 145.42 1165.241546 0.464836205 1097.645065 h29v12 h30v12
134 32.5 81 -99.168 26.561 3066 3580 3954 4230 4493 5064 5676 5489 4549 4651 3996 3136 118.559 3.883 311.844 93.48216 0.069723987 71.73911824 h09v06 hxxvxx
135 207.6 1125 -111.485 36.94 4681 3949 4190 3911 3821 3821 3821 3821 3859 3930 3821 4471 154.832 30.001 609.38 1127.76 0.1406 1047.2 h09v05 hxxvxx
136 56.5 477 44.957 35.956 4708 4677 4713 9095 5621 5362 5442 5240 6110 8226 4379 4731 114.858 6.97 270 513.6909533 0.188933897 462.6788011 h21v05 hxxvxx
137 11.3 99 -96.073 32.182 3919 6509 5657 5242 6020 5655 4734 5692 8190 7517 4616 3746 121.597 0.799 133.032 98.1456 0.094227 85.919708 h09v05 hxxvxx
138 0.4 312 15.052 10.827 5008 5039 5243 4928 5050 5225 5456 5668 5513 5017 5295 5060 116.644 0.68 148.722 312.5 0.019327848 309.6255142 h19v07 hxxvxx
139 51.5 39 101.086 14.852 4975 11309 12499 12422 10086 6309 5759 5467 5338 5653 5985 5476 127.236 0.785 158.871 42 0.052950536 33.58769173 h27v07 hxxvxx
140 12.6 202 148.066 -23.653 6437 7814 8386 7538 6082 5087 5822 8386 6025 5397 5571 5418 115.675 2.289 179.434 209.81 0.129997856 186.4839533 h31v11 hxxvxx
